Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
Parkwoods,43.7532586,-79.3296565,Corrosion Service Company Limited,43.75243208667859,-79.33466148402658,Construction & Landscaping
Parkwoods,43.7532586,-79.3296565,TTC Stop #8381,43.74841,-79.32627,Bus Stop
Parkwoods,43.7532586,-79.3296565,Three Valleys Park,43.75119469806736,-79.33735560270063,Park
Victoria Village,43.7258823,-79.31557159999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
Victoria Village,43.7258823,-79.31557159999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
Victoria Village,43.7258823,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
Victoria Village,43.7258823,-79.31557159999998,The Frig,43.72705130603407,-79.31741760908679,French Restaurant
Victoria Village,43.7258823,-79.31557159999998,Pizza Nova,43.725823726352196,-79.31286041792907,Pizza Place
Victoria Village,43.7258823,-79.31557159999998,Extreme Fun Indoor Playground,43.720914,-79.312516,Playground
Victoria Village,43.7258823,-79.31557159999998,Wigmore Park,43.731023438497964,-79.3107706628902,Park
Victoria Village,43.7258823,-79.31557159999998,Fitness Depot,43.719732920431674,-79.31401716097572,Sporting Goods Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Roots,43.71821373389962,-79.46389305304558,Boutique
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Kitchen Stuff Plus (Clearance Outlet),43.71909636823933,-79.46267482419971,Furniture / Home Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,BATLgrounds,43.72405414025907,-79.46339833125026,Athletics & Sports
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Orfus Road Shopping Outlets,43.719045296434736,-79.46084915034818,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,The Burger's Priest,43.7207893797841,-79.45676631978057,Fast Food Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Marche Istanbul,43.71912892212775,-79.45763083788877,Grocery Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Dollarama,43.720728,-79.457467,Discount Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Playtime Bowl,43.717426948485006,-79.4581475917178,Bowling Alley
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Tim Hortons,43.7194274,-79.4679949,Coffee Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Red Lobster,43.718952,-79.456245,Seafood Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Ardene Shoes Outlet,43.718892366644944,-79.46134358371631,Accessories Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Grande Cheese,43.720145524565304,-79.4579511008545,Cheese Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Viet House,43.71832569840717,-79.45737310259787,Vietnamese Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Party City,43.71941805471303,-79.459316806156,Miscellaneous Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Sugar & Spice,43.720714875348285,-79.45666046363836,Dessert Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Rinx Real Entertainment Centre,43.71784220022086,-79.46223069665501,Event Space
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,International Clothiers,43.717997,-79.46672,Clothing Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Frameworth sports marketing,43.718431101584265,-79.46851256833587,Gift Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Si Vous Play Sports,43.72148036234913,-79.46752487479537,Shoe Store
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Tim Hortons,43.71715541275592,-79.45657432079315,Coffee Shop
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Seoul House,43.71990210821056,-79.4578317328269,Korean Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Best Damn Sports Bar And Grill,43.71913720151931,-79.45720674250519,Bar
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,The Green Umbrella Cafe,43.71359501278733,-79.46080520058662,Café
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Wendy’s,43.71299143087544,-79.46135383914225,Fast Food Restaurant
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Caledonia Park,43.712582990081195,-79.46521655298696,Park
"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,Toronto TAPS,43.712714081081764,-79.46195029095392,Furniture / Home Store
Don Mills,43.7459058,-79.352188,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
Don Mills,43.7459058,-79.352188,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
Don Mills,43.7459058,-79.352188,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
Don Mills,43.7459058,-79.352188,Matsuda Japanese Cuisine & Teppanyaki,43.74549366550305,-79.34582141079446,Japanese Restaurant
Don Mills,43.7459058,-79.352188,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
Don Mills,43.7459058,-79.352188,Elite Basketball Camps,43.748789728,-79.35422793,Athletics & Sports
Glencairn,43.709577,-79.44507259999997,Miyako Sushi Restaurant,43.709111,-79.44393,Japanese Restaurant
