Subzone,0_to_4,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_to_89,90_and_over,0_to_24,25_to_64,65_and_over,total_population
ANG MO KIO TOWN CENTRE,170,260,330,310,290,290,280,330,430,470,350,350,290,270,200,140,80,40,10,1360,2790,740,4890
CHENG SAN,1050,1000,1060,1210,1380,1810,2010,2220,2050,2220,2070,2160,2200,2150,1570,1020,580,310,150,5700,16740,5780,28220
CHONG BOON,840,880,1020,1150,1380,1600,1930,1820,1900,1840,1980,2150,2160,2080,1670,1190,740,400,200,5270,15380,6280,26930
KEBUN BAHRU,730,840,1020,1090,1170,1450,1400,1550,1700,1860,1820,1800,1750,1700,1300,900,590,330,140,4850,13330,4960,23140
SEMBAWANG HILLS,200,280,410,460,530,510,320,290,400,540,540,550,480,420,300,240,150,100,50,1880,3630,1260,6770
SHANGRI-LA,540,590,680,720,860,1030,1030,1010,1090,1170,1260,1420,1240,1140,910,670,400,240,120,3390,9250,3480,16120
TAGORE,220,320,430,490,570,690,490,360,450,600,590,700,710,520,330,220,190,100,60,2030,4590,1420,8040
TOWNSVILLE,750,910,930,830,930,1370,1370,1520,1700,1550,1400,1630,1680,1590,1310,960,610,330,180,4350,12220,4980,21550
YIO CHU KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIO CHU KANG EAST,160,170,230,260,320,330,240,240,250,330,290,350,360,250,170,110,80,30,30,1140,2390,670,4200
YIO CHU KANG NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIO CHU KANG WEST,760,980,1270,1410,1490,1540,1440,1600,1790,1990,1870,1980,1940,1850,1200,710,420,230,100,5910,14150,4510,24570
BAYSHORE,320,470,490,420,350,330,310,580,800,860,640,480,400,350,260,130,90,40,60,2050,4400,930,7380
