Name,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Categories
ANG MO KIO,1.3700733,103.8495157,Old Chang Kee,1.369093882325005,103.84838865753792,Snack Place
ANG MO KIO,1.3700733,103.8495157,FairPrice Xtra,1.3692792884081397,103.84888576818767,Supermarket
ANG MO KIO,1.3700733,103.8495157,MOS Burger,1.369170234303566,103.84783132985862,Burger Joint
ANG MO KIO,1.3700733,103.8495157,NTUC FairPrice,1.3715067580283722,103.84708243348618,Supermarket
ANG MO KIO,1.3700733,103.8495157,Face Ban Mian 非板面 (Ang Mo Kio),1.3720308862082362,103.84750442817865,Noodle House
ANG MO KIO,1.3700733,103.8495157,Bishan - Ang Mo Kio Park,1.3622192498801895,103.8462495803833,Park
ANG MO KIO,1.3700733,103.8495157,Aramsa ~ The Garden Spa,1.3622918947629061,103.84760169782909,Spa
ANG MO KIO,1.3700733,103.8495157,ST31 Coffee Shop,1.3674777858660376,103.84833363275743,Coffee Shop
ANG MO KIO,1.3700733,103.8495157,Kam Jia Zhuang Restaurant,1.3681666144843387,103.84411848687625,Asian Restaurant
ANG MO KIO,1.3700733,103.8495157,Bangkok Street Mookata,1.3656875637631025,103.85318616126993,BBQ Joint
ANG MO KIO,1.3700733,103.8495157,Phoon Huat & Co (Pte) Ltd,1.3683177603071388,103.85163895414827,Miscellaneous Shop
ANG MO KIO,1.3700733,103.8495157,Subway,1.3691362071202464,103.8476121994989,Sandwich Place
ANG MO KIO,1.3700733,103.8495157,PLAYe,1.3691085357692998,103.84822546074516,Hobby Shop
ANG MO KIO,1.3700733,103.8495157,Pine Garden's Cake,1.373054932266421,103.85584381032987,Bakery
ANG MO KIO,1.3700733,103.8495157,e品红麻辣香锅 Mala Hot Pot,1.3714982901834443,103.84780316423276,Asian Restaurant
ANG MO KIO,1.3700733,103.8495157,A&W,1.369541,103.849043,Fast Food Restaurant
ANG MO KIO,1.3700733,103.8495157,"Coffee Shop, Block 422, Ang Mo Kio Ave 3",1.3681191753269961,103.85109286908205,Coffee Shop
ANG MO KIO,1.3700733,103.8495157,AMK 347 Food House,1.367601595486527,103.84837187141285,Coffee Shop
ANG MO KIO,1.3700733,103.8495157,Express Teppan-Yaki,1.3691372852995798,103.84823193982062,Japanese Restaurant
ANG MO KIO,1.3700733,103.8495157,True Fitness,1.372891267012976,103.847660805816,Gym
ANG MO KIO,1.3700733,103.8495157,Malaysia Boleh!,1.3694410017744636,103.84906566043585,Food Court
ANG MO KIO,1.3700733,103.8495157,Fitness First,1.369249484168252,103.84858429733478,Gym / Fitness Center
ANG MO KIO,1.3700733,103.8495157,Pepper Lunch,1.3691073953750246,103.84779052779332,Japanese Restaurant
ANG MO KIO,1.3700733,103.8495157,Takagi Ramen,1.3692634,103.847046,Ramen Restaurant
ANG MO KIO,1.3700733,103.8495157,Starbucks,1.3692298000769514,103.84868271780437,Coffee Shop
ANG MO KIO,1.3700733,103.8495157,Cathay Cineplexes,1.3693207810230712,103.8487183124522,Multiplex
ANG MO KIO,1.3700733,103.8495157,S-11 Ang Mo Kio 530 Food House,1.373048749151822,103.85531232732707,Food Court
ANG MO KIO,1.3700733,103.8495157,Bun Master,1.3692421789361022,103.8490310616258,Bakery
ANG MO KIO,1.3700733,103.8495157,Collin's Grille . Bento,1.3717133895413027,103.84752638869986,Modern European Restaurant
ANG MO KIO,1.3700733,103.8495157,Dog Run @ Bishan Park,1.3659666848277567,103.84402440837773,Dog Run
ANG MO KIO,1.3700733,103.8495157,AMK Hub,1.369283537211122,103.84854152074384,Shopping Mall
ANG MO KIO,1.3700733,103.8495157,Middle Rock Garden Bar,1.362180530274673,103.84720301368108,Bar
ANG MO KIO,1.3700733,103.8495157,Ang Mo Kio Swimming Complex,1.36322106811926,103.8498029490099,Pool
ANG MO KIO,1.3700733,103.8495157,Ang Mo Kio Central Market & Food Centre,1.372036962033785,103.84636606706158,Food Court
