name,latitude,longitude
GREEN AVENUE HOME FOR THE ELDERLY,1.313465,103.880807
IRENE NURSING HOME PTE LTD,1.327183,103.851875
JAMIYAH NURSING HOME (DARUL SYIFAA),1.311039,103.759382
JU ENG HOME FOR SENIOR CITIZENS,1.394423,103.872119
KWONG WAI SHIU HOSPITAL,1.317368,103.858724
LC NURSING HOME,1.313914,103.928489
LEE AH MOOI OLD AGE HOME,1.3307,103.840135
LEE AH MOOI OLD AGE HOME (SILAT),1.276328,103.830864
LING KWANG HOME FOR SENIOR CITIZENS,1.367654,103.861691
LIONS HOME FOR THE ELDERS,1.320726,103.938111
MAN FUT TONG NURSING HOME,1.443824,103.790564
MOONLIGHT HOME FOR THE AGED AND HANDICAPPED LLP,1.360341,103.873892
MORAL HOME FOR THE AGED SICK LIMITED,1.321824,103.954414
MWS BETHANY NURSING HOME - CHOA CHU KANG,1.382697,103.738966
MWS NURSING HOME (YEW TEE),1.395449,103.75207
 NTUC HEALTH NURSING HOME (CHAI CHEE),1.328054,103.921737
NTUC HEALTH NURSING HOME (JURONG WEST),1.340954,103.691497
 NTUC HEALTH NURSING HOME( GEYLANG EAST),1.31963,103.887768
ORANGE VALLEY CARE CENTRE (BALESTIER),1.324393,103.850612
ORANGE VALLEY NURSING HOME,1.389309,103.982021
ORANGE VALLEY NURSING HOME (CLEMENTI),1.318961,103.768909
ORANGE VALLEY NURSING HOME (MARSILING),1.429538,103.774467
ORANGE VALLEY NURSING HOME (SIMEI),1.340863,103.948044
OUR LADY OF LOURDES NURSING HOME PTE LTD,1.363157,103.973739
PACIFIC HEALTHCARE NURSING HOME,1.28654,103.810929
PACIFIC HEALTHCARE NURSING HOME II,1.382669,103.760641
PEARL'S HILL CARE HOME,1.285429,103.841904
REN CI @ ANG MO KIO (NURSING HOME),1.360893,103.853084
REN CI @ BUKIT BATOK ST. 52 (NURSING HOME),1.354948,103.751496
SAINT THERESA'S HOME,1.346751,103.836882
SERENE NURSING HOME PTE LTD,1.312746,103.902139
SINGAPORE CHRISTIAN HOME,1.444868,103.817507
SOCIETY FOR THE AGED SICK,1.350011,103.887735
SOO'S NURSING HOME PTE LTD,1.32908,103.794947
SREE NARAYANA MISSION NURSING HOME,1.430071,103.831064
ST JOSEPH'S HOME,1.349707,103.708244
ST LUKE'S ELDERCARE RESIDENCE @ ANG MO KIO,1.369495,103.840427
ST. ANDREW'S NURSING HOME (BUANGKOK),1.380305,103.885693
ST. ANDREW'S NURSING HOME (HENDERSON),1.271089,103.812114
ST. ANDREW'S NURSING HOME (QUEENSTOWN),1.298049,103.808211
ST. ANDREW'S NURSING HOME (TAMAN JURONG),1.326537,103.726055
SUNLOVE HOME,1.380663,103.885106
SURYA HOME,1.380275,103.884814
SWAMI HOME,1.440095,103.824063
TAI PEI OLD PEOPLE'S HOME,1.327006,103.85173
TAMPINES CARE HOME,1.363239,103.937171
THE LENTOR RESIDENCE,1.391485,103.837299
"THE SALVATION ARMY, PEACEHAVEN NURSING HOME",1.353952,103.964687
THIAN LENG OLD FOLKS HOME (2013),1.318343,103.913521
THK NURSING HOME @ HOUGANG,1.374101,103.888324
THONG TECK HOME FOR SENIOR CITIZENS,1.31895,103.888406
TTSH NURSING HOME BED,1.285429,103.841904
UNITED MEDICARE (ELIZABETH DR) PTE LTD,1.360847,103.761493
UNITED MEDICARE CENTRE,1.336078,103.855197
UNITED MEDICARE CENTRE (QUEENSWAY),1.297365,103.799739
VILLA FRANCIS HOME FOR THE AGED,1.422961,103.8387
WINDSOR CONVALESCENT HOME PTE LTD,1.290036,103.774133
WOODLANDS CARE HOME,1.446105,103.804584
XISER CARESERVE,1.382684,103.884579
